,Position,Velocity
0.0,-1.0,0.0
0.5050505050505051,-0.9667358940035379,0.14315936306925117
1.0101010101010102,-0.8310440957151157,0.2580344028115631
1.5151515151515151,-0.723558800474174,0.33403685077970596
2.0202020202020203,-0.543638928248164,0.4040774599050793
2.5252525252525255,-0.3060412219586078,0.43266008619202606
3.0303030303030303,-0.10567770034118784,0.41797915668951163
3.5353535353535355,0.09439090686178848,0.3728821840460164
4.040404040404041,0.2510617141285407,0.3164888566039495
4.545454545454546,0.393907647988072,0.22976610552958449
5.050505050505051,0.4881672573846693,0.14403418107103685
5.555555555555556,0.5900282852643118,0.05852354842946256
6.0606060606060606,0.5828100868835888,-0.025954384133463702
6.565656565656566,0.5150784335064674,-0.10662574817192076
7.070707070707071,0.4623569645153214,-0.1585556370317071
7.575757575757576,0.39119045031590427,-0.21927851860933056
8.080808080808081,0.2516387883136612,-0.22079562223050545
8.585858585858587,0.1361715421523327,-0.23023300420395848
9.090909090909092,0.01977420606193026,-0.22415418809526305
9.595959595959597,-0.09194667935522496,-0.2130603236037455
10.101010101010102,-0.18742976992705201,-0.14747574476049585
10.606060606060607,-0.23073331682936812,-0.11730375860739124
11.111111111111112,-0.3276415027591747,-0.06660757052800023
11.616161616161618,-0.3302633761884286,-0.016439443445472313
12.121212121212121,-0.3297729823022929,0.03281023699637375
12.626262626262626,-0.29080187744974684,0.0663830265938622
13.131313131313131,-0.25722212729974436,0.09405003840338237
13.636363636363637,-0.18468447469083235,0.1109865592182627
14.141414141414142,-0.11688760103412506,0.12001817992043864
14.646464646464647,-0.05650962629367065,0.11903025820502505
15.151515151515152,0.00909588208935756,0.11672956779979603
15.656565656565657,0.0685421009264938,0.10214740155859152
16.161616161616163,0.12477648885789232,0.07867360336622117
16.666666666666668,0.15315719568518085,0.05529250836444003
17.171717171717173,0.16807684882799756,0.02691802505108329
17.67676767676768,0.177605387961597,6.846803546837228e-05
18.181818181818183,0.17206102056629172,-0.02585244499891591
18.68686868686869,0.14051379013183285,-0.041836658785077654
19.191919191919194,0.11270964043461526,-0.06154382180830685
19.6969696969697,0.10073124329424102,-0.07038300878459615
20.202020202020204,0.053208629092936395,-0.07545788898344555
20.70707070707071,0.017193833158231118,-0.07491543544770163
21.212121212121215,-0.01718309032731574,-0.07167075481118065
21.71717171717172,-0.04334310004493927,-0.05886856419204784
22.222222222222225,-0.07135592904879444,-0.03735398287167048
22.72727272727273,-0.08882351625096971,-0.025103128223311632
23.232323232323235,-0.08954683186663134,-0.010844142789664675
23.73737373737374,-0.09532163896393894,0.004741977936812417
24.242424242424242,-0.08858519447238376,0.017938984187489838
24.747474747474747,-0.07703420176258949,0.02765359944102398
25.252525252525253,-0.06977935602616447,0.032650283355742944
25.757575757575758,-0.04736098772314017,0.042430352698225204
26.262626262626263,-0.02189890209280687,0.038947672527162545
26.767676767676768,-0.003812025697962119,0.03429229995146074
27.272727272727273,0.013868568284398825,0.0364507590796808
27.77777777777778,0.03186394465661512,0.025815377125679283
28.282828282828284,0.04330455742100455,0.020341993259615228
28.78787878787879,0.04930325304172039,0.011236446136100253
29.292929292929294,0.051570650924763456,0.0028916811442840653
29.7979797979798,0.056079465573282035,-0.005015472081880183
30.303030303030305,0.05063632110127562,-0.01153041533210902
30.80808080808081,0.039445559826511364,-0.017966073611679016
31.313131313131315,0.031203518618982847,-0.02058548948256373
31.81818181818182,0.020414643348379478,-0.02395601555189657
32.323232323232325,0.00986932321107012,-0.020415664674337197
32.82828282828283,-0.0016115336819876314,-0.01933557104973206
33.333333333333336,-0.012564137542699604,-0.01775413183321248
33.83838383838384,-0.020728369319004823,-0.013888618467922244
34.343434343434346,-0.025483484835199077,-0.008290238221838586
34.84848484848485,-0.027700844541988737,-0.004430482868444189
35.35353535353536,-0.03026847628265265,-2.399390247936779e-05
35.85858585858586,-0.028522693871313117,0.0043025452882598835
36.36363636363637,-0.024594022257725077,0.00787079603954679
36.86868686868687,-0.022159185566621102,0.011122838639284196
37.37373737373738,-0.015493943852809711,0.012263365095928827
37.87878787878788,-0.008468736138264226,0.01176162273063996
38.38383838383839,-0.003199634571839739,0.012996658188613924
38.88888888888889,0.0028386636621099562,0.010250477952213425
39.3939393939394,0.008504834963649234,0.00952571704954351
39.8989898989899,0.012381714148901726,0.007291682114537606
40.40404040404041,0.013436861607792679,0.004508965147958399
40.909090909090914,0.016702412764598138,0.0017020866124797661
41.41414141414142,0.016389402221475582,-0.0008291120848355168
41.919191919191924,0.015431390996428266,-0.00321786274789197
42.42424242424243,0.01426225228019878,-0.005577121957634759
42.929292929292934,0.011585634987816219,-0.006384336845334433
43.43434343434344,0.00783083784019661,-0.006952288955593335
43.939393939393945,0.004593948346049849,-0.00733096538238433
44.44444444444445,0.0006300484014126964,-0.007175963571516106
44.949494949494955,-0.002757088587695032,-0.006305899155483956
45.45454545454546,-0.005814973978612867,-0.004948858790590977
45.959595959595966,-0.0071190403019941555,-0.003289295071399811
46.46464646464647,-0.008904734804411592,-0.002124364448123476
46.969696969696976,-0.00888900220460113,-0.00048365834855965963
47.47474747474748,-0.009892963654204981,0.0008467421928891989
47.979797979797986,-0.008415279065899516,0.002211986209728321
48.484848484848484,-0.007363501950623202,0.002962135825163518
48.98989898989899,-0.004955153230350024,0.00372844834225971
49.494949494949495,-0.0038376600947961593,0.004173279640924063
50.0,-0.0016470611530804062,0.004009288411095276
